SRS Royal Hills Phase 2,SRS Real Estate Limited,Sector-87,3 BHK,Faridabad
BPTP Park Sentosa,BPTP Group,Sector-77,3 BHK,Faridabad
BPTP Park Sentosa,BPTP Ltd.,Sector-77,3 BHK,Faridabad
Platnium Heights,KLJ Group,Sector-77,2 3 BHK,Faridabad
BPTP Parkland Villa,BPTP Ltd.,Sector-88,1 2 3 BHK,Faridabad
Imperial Royaute,SPR Buildtech Ltd.,Sector-82,3 4 BHK,Faridabad
Status Enclave,Achievers Group,Sector-49,2 3 BHK,Faridabad
RPS Savana,RPS Group,Sector-88,2 3 BHK,Faridabad
Royal Heritage,Ansal Buildwell,Sector-70,2 3 4 BHK,Faridabad
BPTP Parkland Villa,BPTP Ltd.,Sector-88,1 2 3 BHK,Faridabad
SRS Royal Hills-Phase 2,SRS Real Estate,Sector-87,3 4 BHK,Faridabad
Blossom Greens,GPM Developers Pvt. Ltd.,Sector-63,2 3 BHK,Faridabad
The Pranayam,Puri Constructions,Sector-82,3 BHK,Faridabad
Ferrous Megapolis City,Ferrous Group,Sector-70,Residential Plot,Faridabad
