Indiabulls Greens,Indiabulls Real Estate Limited,Panvel,1 2 3 4 BHK,Mumbai
Godrej Platinum Vikroli,Godrej Properties,Vikhroli East,2 4 BHK,Mumbai
Sea View,Realty Pros,Mar,2 3 4 BHK,Mumbai
NG Suncity Phase III,RNA,Kandivali East,2 3 BHK,Mumbai
Sunshine Hills,Shanti Constructions,Vasai,1 2 BHK,Mumbai
Kalpataru Aura,Kalpataru,Ghatkopar West,2 BHK,Mumbai
Rivali Park,G Corp,Kandivali East,2 3 4 BHK,Mumbai
Beauty Heights,Sankalpa Builders,Bhandup West,1 BHK,Mumbai
Shri Ganesh Apartments,Poddar Matushree Group,Link Road,2 BHK,Mumbai
Bonzer Celebrations,Bonzer Infra Pvt. Ltd.,Khopoli,1 2 BHK,Mumbai
Green Acres,Nirman Realtors And Developers Ltd.,Malad East,1 2 BHK,Mumbai
DB Orchid Enclave,DB Realty,Mumbai Central,2 BHK,Mumbai
Summit,Rustomjee Developers,Borivali East,2 3 BHK,Mumbai
Orchid Park,Sunny Buildtech,Karjat,1 BHK,Mumbai
Kalpataru Pinnacle,Shravasti Properties Pvt. Ltd.,Goregaon West,3 4 BHK,Mumbai
KUL Palladio,Kumar Builders,Andheri East,1 BHK,Mumbai
Rising City Ghatkopar,Hubtown-Marathon & Rajesh Lifespaces Group,Ghatkopar East,2 3 BHK,Mumbai
Lodha Venezia,Lodha Group,Parel,2 3 BHK,Mumbai
Krishna Residency,Krishna Ventures,Andheri East,2 3 BHK,Mumbai
Lodha Aurum Grande,Lodha,Kanjur Marg East,2 3 BHK,Mumbai
Lodha-New Cuffe Parade,Lodha Group,Wadala,2 3 4 BHK,Mumbai
Lake Superior,Ekta World,Powai,4 5 BHK,Mumbai
Mantri Serene,Mantri Realty Ltd.,Goregaon East,1 2 BHK,Mumbai
Shiv Shakti Apartments,Presidential Estate,Andheri West,2 3 >5 BHK,Mumbai
Raheja Vivarea,K Raheja Corp,Mahalakshmi,3 4 BHK,Mumbai
Varad,Nirman Realtors And Developers Ltd.,Mulund East,1 2 BHK,Mumbai
DB Orchid Tower,DB Realty,Mumbai Central,4 BHK,Mumbai
Elita,Rustomjee Developers,Juhu,2 3 4 BHK,Mumbai
Srishti,Azure Tree Township LLP,Mira Road,3 BHK,Mumbai
Tulsi Estates,Space India,Karjat,1 2 BHK,Mumbai
Kanakia Sevens,Kanakia,Andheri East,1 2 BHK,Mumbai
Arkade Art,Arkade Group,Mira Road,1 2 3 BHK,Mumbai
Rameswaram Apartment,Raj Corporation,Dahisar East,1 2 BHK,Mumbai
Bombay Dyeing Two ICC,Bombay Realty,Dadar East,3 4 BHK,Mumbai
Meeras Empire,Mavji Estate Developers,Goregaon West,2 3 BHK,Mumbai
ONE ICC & TWO ICC,Bombay Realty,Dadar East,3 4 BHK,Mumbai
Beauty Landmark,Sankalp Builders,Bhandup West,1 BHK,Mumbai
Madhukunj,Atul Builder,Borivali East,2 BHK,Mumbai
Sadguru Heights I,Sadguru Group Housing & Infrastructure,Dahisar East,2 BHK,Mumbai
Landmark,Nirman Realtors And Developers Ltd.,Jogeshwari East,1 BHK,Mumbai
Ajmera Zeon,Ajmera Group,Wadala,2 3 4 BHK,Mumbai
RNA Metropolis,RNA Corp,Sewri,2 3 BHK,Mumbai
Lodha Blue Moon,Lodha,Worli,2 3 4 BHK,Mumbai
Kalpataru Aura,Kalpataru Ltd.,Ghatkopar West,2 BHK,Mumbai
Ostwal Pride,Shree Ostwal Builders Ltd.,Mira Road,1 2 BHK,Mumbai
