Runwal Pearl,Runwal Group,Ghodbandar Road,2 3 BHK,Thane
Saptashree Galaxy,Saptashree Sky Height Construction Pvt Ltd.,Dombivli,1 2 BHK,Thane
Meera Vatika,Saraswati Infra,Ambernath,1 2 BHK,Thane
Casa Rio Gold,Lodha,Dombivli,1 2 3 BHK,Thane
Runwal Garden City,Runwal Group,Balkum village,2 3 BHK,Thane
My Village,2nd Home,Shahapur,Residential Plot,Thane
Vishwajeet Green,GBK Group,Ambernath,1 2 BHK,Thane
Lodha Elite,Lodha,Dombivli East,1 2 3 4 BHK,Thane
Falco World,Falco Developers,Kalyan,1 2 BHK,Thane
Royal Heritage,Mumbai Promoters Pvt. Ltd.,Vas,1 2 3 BHK,Thane
Mohan Greenwoods,The Mohan Group,Badlapur,1 2 BHK,Thane
Asha Paradise,Ashapura Constructions,Dombivli East,1 2 3 BHK,Thane
Kalpataru Hills,Kalpataru Properties (Thane) Pvt. Ltd.,Thane West,2 3 BHK,Thane
Rodas Enclave,Hiranandani,Godbander Road,1 2 3 4 5 BHK,Thane
Runwal Garden City,Runwal Group,Thane West,2 3 BHK,Thane
Casa Rio Gold,Lodha Group,Dombivli,1 2 3 BHK,Thane
Silverline,Mril Group,Ghodbandar Road,1 2 BHK,Thane
Lodha Splendora,Lodha,Ghodbandar Road,2 3 BHK,Thane
Atlanta Eden World,Sai Balaji Developer,Bhiwandi,1 2 BHK,Thane
Haware Citi,Haware Engineers & Builders Private Limited,Ghodbandar Road,1 2 3 BHK,Thane
Vishwajeet Meadows,GBK Group,Ambernath,1 2 BHK,Thane
Triveni Laurel,Triveni Infra,Kalyan,2 3 BHK,Thane
New Haven,Tata Housing Development Company Ltd.,Boisar,2 3 BHK,Thane
Manohar Vikas Residency,Manohar Vikas Group,Badlapur,2 3 BHK,Thane
Mohan Suburbia,The Mohan Group,Ambernath,1 2 3 BHK,Thane
Yellow Tree,Prakhhyat Residency LLP,Asangoan,1 2 BHK,Thane
Siddhachal,Kalataru Properties (Thane) Pvt. Ltd.,Pokharan Road No. 2,2 3 BHK,Thane
Sun Soman Square,Sun Soman,Kalyan,2 3 BHK,Thane
Lodha Splendora,Lodha Group,Ghodbandar Road,1 2 3 BHK,Thane
Daisy Gardens,Ankita Builders,Ambernath,1 2 3 BHK,Thane
Palacia,Madhav Constructions,Waghbil,1 2 BHK,Thane
Royal Heights,New Royal Construction,Kopri,2 BHK,Thane
Soman Prathmesh,Soman And Associates,Titwala,1 BHK,Thane
Manohar Vikas Residency,Manohar Vikas Group,Badlapur,2 3 BHK,Thane
Balaji Pushp Kalash,Tirupati Balaji Builders & Developers,Bhiwandi,1 2 BHK,Thane
Urbania,Rustomjee Developers,Majiwade,1 2 3 BHK,Thane
Mohan Palms,The Mohan Group,Badlapur,1 2 BHK,Thane
Samruddhi Evergreens,The Poddar Group,Badlapur,3 BHK,Thane
Sudarshan Sky Garden,,Ghodbandar Road,2 BHK,Thane
Avenue D,A Laxmi Housing Joint Venture with Rustomjee and Evershine,Virar,1 2 BHK,Thane
